,Cancer Type,Age,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
New Mexico,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,343.5,4639,1057201
Arizona,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,353.8,16178,3600640
Utah,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,373.8,5470,1565310
California,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,377.9,87599,19843136
Wyoming,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,378.5,1322,283325
Texas,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,378.9,58386,14409351
Colorado,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,379.5,12365,2825526
Virginia,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,379.7,20262,4318025
Alaska,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,386.3,1410,351692
Hawaii,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,391.4,1482,368643
District of Columbia,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,391.4,3633,709302
Alabama,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,396,12863,2524361
South Carolina,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,396.7,13636,2620391
Idaho,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,403.7,4163,873205
Idaho,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,406.8,18496,3542925
Oregon,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,406.9,11128,2108799
North Dakota,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,407.9,1762,370046
Missouri,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,412.1,16598,3116702
Washington,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,413.2,18789,3758918
Maryland,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,415.9,16166,3111203
Tennessee,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,416.6,18268,3466921
Mississippi,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,416.9,7967,1535497
Indiana,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,417.4,17454,3394211
Montana,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,418,2919,526813
Oklahoma,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,418.2,10126,1987969
Michigan,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,418.5,27722,5067862
Georgia,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,419.3,26194,5399300
Florida,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,421.1,65144,10858944
North Carolina,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,422.5,28410,5331288
Kansas,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,422.8,7481,1460588
South Dakota,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,423.6,2259,435205
Connecticut,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,425.8,10428,1829397
Louisiana,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,428.5,12407,2385448
Wisconsin,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,428.8,16188,2918181
Delaware,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,430.4,2910,498641
Vermont,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,435,1924,316079
Minnesota,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,435.7,15075,2813822
Ohio,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,436.6,35220,6471727
Illinois,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,436.6,33793,5953904
Arkansas,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,438.6,8552,1531624
New Hampshire,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,440.2,4127,682692
Maine,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,440.9,4436,683374
Rhode Island,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,441.2,3193,543427
Pennsylvania,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,445,39560,6529381
New York,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,445.2,57347,10046133
Nebraska,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,448.2,5157,964240
Iowa,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,450.1,9087,1581655
New Jersey,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,453,26627,4545338
West Virginia,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,466.4,5981,910982
Kentucky,All Types of Cancer,,Female,All Races and Ethnicities,Incidence,473.8,13669,2263603
