States,Timezone
Alabama,Central Time 
Alaska,Alaska Time 
Arizona,Mountain Time 
Arkansas,Central Time 
California,Pacific Time 
Colorado,Mountain Time 
Connecticut,Eastern Time 
Delaware,Eastern Time 
District of Columbia,Eastern Time 
Florida,Eastern Time 
Georgia,Eastern Time 
Hawaii,Hawaii Time 
Idaho,Mountain Time 
Illinois,Central Time 
Indiana,Eastern Time 
Iowa,Central Time 
Kansas,Central Time 
Kentucky,Central Time 
Louisiana,Central Time 
Maine,Eastern Time 
Maryland,Eastern Time 
Massachusetts,Eastern Time 
Michigan,Eastern Time 
Minnesota,Central Time 
Mississippi,Central Time 
Missouri,Central Time 
Montana,Mountain Time 
Nebraska,Central Time 
Nevada,Pacific Time 
New Hampshire,Eastern Time 
New Jersey,Eastern Time 
New Mexico,Mountain Time 
New York,Eastern Time 
North Carolina,Eastern Time 
North Dakota,Central Time 
Ohio,Eastern Time 
Oklahoma,Central Time 
Oregon,Pacific Time 
Pennsylvania,Eastern Time 
Rhode Island,Eastern Time 
South Carolina,Eastern Time 
South Dakota,Central Time 
Tennessee,Central Time 
Texas,Central Time 
Utah,Mountain Time 
Vermont,Eastern Time 
Virginia,Eastern Time 
Washington,Pacific Time 
West Virginia,Eastern Time 
Wisconsin,Central Time 
Wyoming,Mountain Time 
